mouse,trial,behav_group,neuron_group
M3411,1,b,b
M3411,2,c,Eh
M3411,3,d,8o
M3411,4,e,Aw
M3411,5,f,4D
M3411,6,g,wL
M3412,1,b,b
M3412,2,c,9f
M3412,3,d,6l
M3412,4,e,3r
M3412,5,f,Zx
M3412,6,g,WD
M3421F,1,b,b
M3421F,2,c,cf
M3421F,3,d,dk
M3421F,4,e,ep
M3421F,5,f,fu
M3421F,6,g,gz
M3422F,1,b,b
M3422F,2,c,Lg
M3422F,3,d,ln
M3422F,4,e,Vt
M3422F,5,f,vA
M3422F,6,g,6G
M3424F,1,b,b
M3424F,2,c,rf
M3424F,3,d,Hk
M3424F,4,e,Xp
M3424F,5,f,dv
M3424F,6,g,tA
M3425F,1,b,b
M3425F,2,c,Fe
M3425F,3,d,0i
M3425F,4,e,Dn
M3425F,5,f,8r
M3425F,6,g,Bw
